no;Lat;Lon;Fare;Time;CabID
121;37.77;-122.42003;1;1211041482;30788
122;37.77457;-122.41916;1;1211041543;30788
123;37.77801;-122.41978;1;1211041603;30788
124;37.7814;-122.42038;1;1211041664;30788
125;37.78434;-122.42101;1;1211041724;30788
126;37.78659;-122.42148;1;1211041784;30788
127;37.78931;-122.422;1;1211041844;30788
128;37.79063;-122.42025;1;1211041904;30788
129;37.79119;-122.41568;1;1211041964;30788
130;37.79149;-122.41327;1;1211042024;30788
131;37.7916;-122.41249;1;1211042068;30788
132;37.79171;-122.41162;0;1211042074;30788
133;37.79181;-122.41093;0;1211042112;30788
134;37.7942;-122.41138;0;1211042173;30788
135;37.79533;-122.41151;0;1211042234;30788
136;37.79714;-122.4119;0;1211042305;30788
137;37.79951;-122.4124;0;1211042356;30788
138;37.80239;-122.41294;0;1211042416;30788
139;37.80413;-122.41331;0;1211042476;30788
140;37.8071;-122.41391;0;1211042537;30788
141;37.80735;-122.41399;0;1211042567;30788
142;37.80845;-122.41247;0;1211042628;30788
143;37.80826;-122.4155;0;1211042695;30788
144;37.80783;-122.41868;0;1211042740;30788
145;37.80704;-122.419;0;1211042821;30788
146;37.80669;-122.42047;0;1211042883;30788
147;37.80469;-122.42193;0;1211042941;30788
148;37.80455;-122.42228;0;1211043006;30788
149;37.80455;-122.42227;1;1211043049;30788
150;37.80167;-122.42298;1;1211043104;30788
151;37.79795;-122.42219;1;1211043164;30788
152;37.79576;-122.4218;1;1211043224;30788
153;37.79482;-122.42157;1;1211043284;30788
154;37.79082;-122.42076;1;1211043344;30788
155;37.78943;-122.42049;1;1211043404;30788
156;37.78608;-122.41983;1;1211043469;30788
157;37.78418;-122.41946;1;1211043529;30788
158;37.78135;-122.41885;1;1211043584;30788
159;37.77689;-122.418;1;1211043644;30788
160;37.77251;-122.4124;1;1211043710;30788
161;37.76707;-122.40543;1;1211043765;30788
162;37.7557;-122.40321;1;1211043829;30788
163;37.74248;-122.40696;1;1211043876;30788
164;37.72899;-122.40346;1;1211043932;30788
165;37.716;-122.39873;1;1211043996;30788
166;37.70313;-122.39394;1;1211044030;30788
167;37.68998;-122.39093;1;1211044078;30788
168;37.67617;-122.38882;1;1211044126;30788
169;37.66465;-122.39806;1;1211044176;30788
170;37.65347;-122.40722;1;1211044228;30788
171;37.63989;-122.40576;1;1211044284;30788
172;37.62677;-122.40255;1;1211044327;30788
173;37.61393;-122.39731;1;1211044388;30788
174;37.615;-122.38638;1;1211044448;30788
175;37.61787;-122.38572;1;1211044508;30788
176;37.61781;-122.38712;1;1211044566;30788
177;37.61779;-122.38711;1;1211044626;30788
178;37.6178;-122.38711;1;1211044654;30788
179;37.6178;-122.38711;0;1211044667;30788
180;37.61607;-122.38898;0;1211044724;30788
181;37.61921;-122.39913;0;1211044787;30788
182;37.63229;-122.40275;0;1211044828;30788
183;37.64542;-122.4063;0;1211044878;30788
184;37.65871;-122.40526;0;1211044932;30788
185;37.6687;-122.39376;0;1211044980;30788
186;37.68197;-122.3889;0;1211045034;30788
187;37.69547;-122.39192;0;1211045086;30788
188;37.709;-122.39498;0;1211045137;30788
189;37.71604;-122.39854;0;1211045168;30788
190;37.72892;-122.40307;0;1211045221;30788
191;37.73335;-122.40556;1;1211045243;30788
192;37.7446;-122.40509;1;1211045324;30788
193;37.74669;-122.40395;1;1211045355;30788
194;37.7467;-122.40395;0;1211045370;30788
195;37.74921;-122.40509;0;1211045438;30788
196;37.74841;-122.40999;0;1211045479;30788
197;37.74835;-122.41246;0;1211045546;30788
198;37.74862;-122.41366;0;1211045599;30788
199;37.74861;-122.41371;0;1211045664;30788
200;37.74853;-122.41361;0;1211045721;30788
201;37.74855;-122.41364;0;1211045794;30788
202;37.74856;-122.41362;0;1211045843;30788
203;37.74868;-122.41367;0;1211045850;30788
204;37.75083;-122.41392;0;1211045910;30788
205;37.75276;-122.41432;0;1211045969;30788
206;37.75267;-122.41427;1;1211045974;30788
207;37.75512;-122.41442;1;1211046031;30788
208;37.75837;-122.41467;1;1211046091;30788
209;37.76099;-122.41706;1;1211046151;30788
210;37.7645;-122.41739;1;1211046211;30788
211;37.76622;-122.41749;1;1211046271;30788
212;37.76621;-122.41756;1;1211046331;30788
213;37.76621;-122.41756;0;1211046332;30788
214;37.76513;-122.41849;0;1211046393;30788
215;37.76488;-122.41974;0;1211046436;30788
216;37.76163;-122.42304;0;1211046520;30788
217;37.76165;-122.42347;0;1211046580;30788
218;37.76422;-122.42406;0;1211046640;30788
219;37.76632;-122.42462;0;1211046698;30788
220;37.76637;-122.42459;0;1211046808;30788
221;37.76673;-122.42424;1;1211046839;30788
222;37.76815;-122.42239;1;1211046898;30788
223;37.76969;-122.42001;1;1211046965;30788
224;37.77161;-122.41899;1;1211047018;30788
225;37.77265;-122.41881;1;1211047085;30788
226;37.77287;-122.41869;1;1211047144;30788
227;37.77608;-122.41939;1;1211047200;30788
228;37.7798;-122.42009;1;1211047272;30788
229;37.78248;-122.42058;1;1211047330;30788
230;37.78511;-122.41804;1;1211047445;30788
231;37.78571;-122.4133;1;1211047500;30788
232;37.78591;-122.41207;1;1211047560;30788
233;37.7856;-122.41139;1;1211047621;30788
234;37.78601;-122.40943;1;1211047681;30788
235;37.78753;-122.40825;1;1211047741;30788
236;37.78816;-122.40826;1;1211047805;30788
237;37.78861;-122.40862;1;1211047870;30788
238;37.7886;-122.41048;1;1211047923;30788
239;37.78854;-122.41308;1;1211047933;30788
240;37.78853;-122.4133;0;1211047940;30788
241;37.7877;-122.41342;0;1211047995;30788
242;37.78757;-122.41337;1;1211048029;30788
243;37.78596;-122.41938;1;1211048120;30788
244;37.78579;-122.4212;1;1211048180;30788
245;37.78571;-122.4248;1;1211048246;30788
246;37.785;-122.42933;1;1211048303;30788
247;37.78384;-122.43711;1;1211048366;30788
248;37.78371;-122.43814;1;1211048401;30788
249;37.78234;-122.44871;1;1211048460;30788
250;37.78171;-122.45332;1;1211048520;30788
251;37.78144;-122.45616;1;1211048600;30788
252;37.78135;-122.45619;1;1211048647;30788
253;37.77789;-122.4553;1;1211048702;30788
254;37.77727;-122.45842;1;1211048762;30788
255;37.77358;-122.4588;1;1211048822;30788
256;37.77268;-122.46113;1;1211048883;30788
257;37.77197;-122.46199;1;1211048942;30788
258;37.77196;-122.46241;0;1211048959;30788
259;37.77258;-122.46485;0;1211048980;30788
260;37.77384;-122.4658;0;1211049056;30788
261;37.77408;-122.46587;0;1211049123;30788
262;37.77409;-122.46588;0;1211049237;30788
263;37.77401;-122.46591;0;1211049297;30788
264;37.77535;-122.46495;0;1211049358;30788
265;37.77731;-122.46237;0;1211049422;30788
266;37.77735;-122.45885;0;1211049479;30788
267;37.77732;-122.4574;0;1211049539;30788
268;37.77726;-122.45752;0;1211049574;30788
269;37.77733;-122.45749;0;1211049635;30788
270;37.77732;-122.4575;0;1211049662;30788
271;37.77731;-122.4575;0;1211049684;30788
272;37.77731;-122.45755;0;1211049745;30788
273;37.77729;-122.45749;1;1211049778;30788
274;37.77796;-122.45232;1;1211049849;30788
275;37.77904;-122.44383;1;1211049894;30788
276;37.77957;-122.43882;1;1211049954;30788
277;37.77787;-122.43839;1;1211050019;30788
278;37.77712;-122.43622;1;1211050074;30788
279;37.77766;-122.43171;1;1211050134;30788
280;37.77852;-122.42519;1;1211050196;30788
281;37.77794;-122.42317;1;1211050257;30788
282;37.77602;-122.42274;1;1211050317;30788
283;37.77626;-122.41977;1;1211050383;30788
284;37.77532;-122.41584;1;1211050439;30788
285;37.77744;-122.41288;1;1211050497;30788
286;37.78054;-122.40925;1;1211050558;30788
287;37.78264;-122.40656;1;1211050613;30788
288;37.78337;-122.40744;1;1211050673;30788
289;37.78368;-122.40805;1;1211050739;30788
290;37.78433;-122.40829;1;1211050809;30788
291;37.78538;-122.40824;1;1211050855;30788
292;37.78569;-122.40815;1;1211050916;30788
293;37.78563;-122.40816;1;1211050977;30788
294;37.78561;-122.40815;1;1211051044;30788
295;37.78537;-122.40817;1;1211051097;30788
296;37.78562;-122.40635;1;1211051162;30788
297;37.78567;-122.40639;1;1211051217;30788
298;37.78488;-122.40476;1;1211051287;30788
299;37.7874;-122.40065;1;1211051338;30788
300;37.7858;-122.39944;1;1211051398;30788
301;37.78293;-122.40226;1;1211051458;30788
302;37.78215;-122.4013;1;1211051518;30788
303;37.77863;-122.39702;1;1211051579;30788
304;37.77697;-122.39472;1;1211051639;30788
305;37.77689;-122.39478;1;1211051685;30788
306;37.77689;-122.39477;0;1211051686;30788
307;37.77697;-122.39525;0;1211051750;30788
308;37.7769;-122.39532;0;1211051806;30788
309;37.77689;-122.39526;0;1211051878;30788
